Løpende nr,Lagring boksnr-plassnr,Lagring plassnr,PrøveID-(eksternt)-eller-PJS-nummer-(VI-internt),Andre nummer,Bakterie art/stamme,Art (vert),Prosjekt,Prioritert? (Ja/Nei),BESTILLER (epost for svar),"Skal DNA ekstraheres 
(Ja/Nei)",DNA ekstraksjon startdato,"Nanodrop, ng/µL",A260/A280,A260/A230 (2.0-2.2),"Qubit,  ng/µL","DNA ekstraksjon/måling,
link","Library Prep, startdato link (LPååååmmddINITIALER)","MS/NS run # 
link",Dato sekvensert 1.gang,Kommentarer,Faktura,Dato sekvensert 2.gang,Kommentarer 2,DNA ekstrakt kastet (dato) eller sendt,Unnamed: 25,Qubit (gammel)
11,11-Jan,,,"EURL-VTEC_PT26_3819, NVI-735",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
12,12-Jan,,,"EURL-VTEC_PT26_4818, NVI-736",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
13,13-Jan,,,"EURL-VTEC_PT26_5708, NVI-737",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
14,14-Jan,,,"EURL-VTEC_PT26_7143, NVI-738",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
15,15-Jan,,,"EURL-VTEC_PT26_8112, NVI-739",E. coli,,"STEC - PT26, NRL",,11/25/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,SEQ-TECH,,,1/11/2021,,
16,16-Jan,,2019-01-3549,Frysenr-18-81,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
17,17-Jan,,2019-01-3550,Frysenr-19-1,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
18,18-Jan,,2019-01-3566,Frysenr-19-9,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
19,19-Jan,,2019-01-3570,Frysenr-19-12,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
20,20-Jan,,2019-01-3589,Frysenr-19-16,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
21,21-Jan,,2019-01-3590,Frysenr-19-17,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
22,22-Jan,,2019-01-3594,Frysenr-19-19,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
23,23-Jan,,2019-01-3601,Frysenr-19-21,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
24,24-Jan,,2019-01-3603,Frysenr-19-22,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,27/11-19RFF,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
25,25-Jan,,,841/06,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
26,26-Jan,,,793/05,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
27,27-Jan,,,703/05,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
28,28-Jan,,,2377/19,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
29,29-Jan,,,4-7434-2,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
30,30-Jan,,,2493/19,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
31,31-Jan,,,917/06,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
32,Jan-32,,,175/06,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
33,Jan-33,,,2337/19,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
34,Jan-34,,,2398/19,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
35,Jan-35,,,730/05,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
36,Jan-36,,,1017/06,Providensia,,NMBU-Providensia,,11/26/2019,,27/11-19SN/CS,,,,,DNAe20191127,LP20191128RFF,#8,9/30/2018,,,,,1/11/2021,,
37,Jan-37,,2019-01-3612,Frysenr-19-25,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
38,Jan-38,,2019-01-3627,Frysenr-19-28,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
39,Jan-39,,2019-01-3721,Frysenr-19-33,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
40,Jan-40,,2019-01-3735,Frysenr-19-35,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
41,Jan-41,,2019-01-3738,Frysenr-19-38,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
42,Jan-42,,2019-01-3747,Frysenr-19-39,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
43,Jan-43,,2019-01-3760,Frysenr-19-43,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
44,Jan-44,,2019-01-3766,Frysenr-19-51,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
45,Jan-45,,2019-01-3767,Frysenr-19-52,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
46,Jan-46,,2019-01-3770,Frysenr-19-53,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
47,Jan-47,,2019-01-3784,Frysenr-19-54,Providensia,,SEQ-TECH prosjekt/utbrudd,,11/26/2019,,Manglet. Erstattet med 2019-01-3993,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
48,Jan-48,,2019-01-3811,Frysenr-19-56,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
49,Jan-49,,2019-01-3772,Frysenr-19-63,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
50,Jan-50,,2019-01-3825,Frysenr-19-65,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
51,Jan-51,,2019-01-3867,Frysenr-19-67,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
52,Jan-52,,2019-01-3915,Frysenr-19-70,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
53,Jan-53,,2019-01-3916,Frysenr-19-71,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
54,Jan-54,,2019-01-3918,Frysenr-19-72,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
55,Jan-55,,2019-01-3919,Frysenr-19-73,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
56,Jan-56,,2019-01-3920,Frysenr-19-74,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
57,Jan-57,,2019-01-3922,Frysenr-19-75,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
58,Jan-58,,2019-01-3936,Frysenr-19-76,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
59,Jan-59,,2019-01-3963,Frysenr-19-80,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
60,Jan-60,,2019-01-3965,Frysenr-19-81,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
61,Jan-61,,2019-01-3993,Frysenr-20-1,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,05.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
62,Jan-62,,2019-01-4000,Frysenr-20-2,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
63,Jan-63,,2019-01-4001,Frysenr-20-3,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/3/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
64,Jan-64,,2019-01-4006,Frysenr-20-4,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
65,Jan-65,,2019-01-4007,Frysenr-20-5,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
66,Jan-66,,2019-01-4009,Frysenr-20-6,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
67,Jan-67,,2019-01-4011,Frysenr-20-7,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
68,Jan-68,,2019-01-4012,Frysenr-20-8,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
69,Jan-69,,2019-01-4013,Frysenr-20-9,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
70,Jan-70,,2019-01-4014,Frysenr-20-10,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
71,Jan-71,,2019-01-4015,Frysenr-20-11,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
72,Jan-72,,2019-01-4019,Frysenr-20-12,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
73,Jan-73,,2019-01-4040,Frysenr-20-13,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
74,Jan-74,,2019-01-4039,Frysenr-20-14,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
75,Jan-75,,2019-01-4057,Frysenr-20-16,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
76,Jan-76,,2019-01-4082,Frysenr-20-17,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
77,Jan-77,,2019-01-4192,Frysenr-20-19,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
78,Jan-78,,2019-04-41571,Frysenr-20-20,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
79,Jan-79,,2019-01-4558,Frysenr-20-23,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
80,Jan-80,,2006-04-6636,Frysenr 2-30,Providensia,,SEQ-TECH prosjekt/utbrudd,,12/4/2019,,06.12.2019/WHS,,,,,DNAe20191205,LP20191210WHS,#9,12/12/2019,,,,,1/11/2021,,
81,Jan-81,,2019-22-418,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
82,1-Feb,,2019-22-480,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
83,2-Feb,,2019-22-488,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
84,3-Feb,,2019-01-858,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
85,4-Feb,,2019-01-1962,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
86,5-Feb,,2019-01-2163,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
87,6-Feb,,2019-01-2951,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
88,7-Feb,,2019-01-3120,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
89,8-Feb,,2019-01-3179,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
90,9-Feb,,2019-01-3929,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
91,10-Feb,,2019-01-3967,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
92,11-Feb,,2019-01-4126,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
93,12-Feb,,2019-01-4317-1,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
94,13-Feb,,2019-01-1332-1,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
95,14-Feb,,2019-01-4549,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
96,15-Feb,,2019-01-4600,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
97,16-Feb,,2019-01-4637,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
98,17-Feb,,2019-01-4639,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
99,18-Feb,,2019-01-4705,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
100,19-Feb,,2019-01-4763,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
101,20-Feb,,2019-06-11791-3,,E. coli,,NORM-VET,,11.12.2019 - inkubator 12/12-2019,,16.12.2019/WHS,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
102,21-Feb,,VI51285,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
103,22-Feb,,VI61438,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
104,23-Feb,,VI61472,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
105,24-Feb,,VI61505,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
106,25-Feb,,VI61827,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
107,26-Feb,,VI61834,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
108,27-Feb,,VI61848,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
109,28-Feb,,VI61887,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
110,29-Feb,,VI61911,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
111,Feb-30,,VI61912,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
112,Feb-31,,VI61913,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
113,Feb-32,,VI61914,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
114,Feb-33,,VI61917,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
115,Feb-34,,VI61936,,Listeria,,utbrudd,,,,11.12.2019 TMF,,,,,DNAe20191211_16,LP20191219WHS,#10,12/21/2019,,6/2021/CAB,,,1/11/2021,,
116,Feb-35,,2019-22-198,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
117,Feb-36,,2019-22-464,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
118,Feb-37,,2019-01-4454,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,,16.12.2019/WHS,,,,,,LP20191219WHS,#10,12/21/2019,,Okt-20/CAB,,,1/11/2021,,
119,Feb-38,,2019-06-611-3-1-4-1,,E. coli,,NORM-VET,,på skål i kjøleskap NORM-VET,ja,,,,,,,,,,,Okt-20/CAB,,,1/11/2021,,
120,Feb-39,,VI61911,,Listeria,,utbrudd,,,nei,11.12.2019 TMF,,,,,,LP20200114RFF,#11,1/16/2020,repeteres #110,6/2021/CAB,,,1/11/2021,,
